h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
1,wv,JHU_CSSE-DECOM,2020-10-05,2020-10-10,7.042857,7.128571,8.685714,9.428572,11.60714,12.42857,13.5,14.56391,15.14286,15.91071,17.21429,18.46032,18.96429,20.02381,20.96429,21.44218,22.35714,25.75,26.57143,30.24845,36.28571,36.28571,36.28571,24.0
1,wi,JHU_CSSE-DECOM,2020-10-05,2020-10-10,38.14286,51.0,57.21429,65.32653,73.49351,78.21429,100.7619,115.2,120.6984,121.8442,133.8571,145.0571,148.6286,152.5179,161.4286,162.4,165.5714,173.0952,182.9365,273.1464,300.9205,306.9432,348.8429,125.0
1,wy,JHU_CSSE-DECOM,2020-10-05,2020-10-10,0.0,0.4285714,1.0,1.417582,1.639922,1.857143,1.857143,1.968717,2.301804,2.428571,2.571429,2.734694,2.979592,3.285714,3.428571,4.0,4.142857,4.507143,5.428571,6.428571,8.246751,9.214286,10.26786,1.0
2,al,JHU_CSSE-DECOM,2020-10-05,2020-10-17,6.964286,13.42857,31.07143,37.57143,43.62857,47.22857,49.42857,54.0,55.85714,60.25,67.7619,72.61905,76.14286,77.07143,81.57143,87.19048,94.14286,114.4286,120.2286,142.2857,180.7143,214.4805,217.8571,124.0
2,ak,JHU_CSSE-DECOM,2020-10-05,2020-10-17,1.734694,1.857143,2.857143,3.714286,6.316326,6.714286,7.285714,8.857142,9.367347,9.668281,9.861607,10.0,11.23214,12.28571,12.28571,12.42857,13.53571,17.71429,31.0,38.76531,41.82653,42.79592,43.37755,6.0
2,az,JHU_CSSE-DECOM,2020-10-05,2020-10-17,40.8,45.80952,50.89286,57.40816,60.07143,66.42857,70.09524,74.57143,80.28572,85.33333,89.0,93.34286,98.80952,100.9643,104.5238,109.5714,115.3571,122.2857,137.1071,151.4286,168.1429,220.6667,249.9286,65.0
2,ar,JHU_CSSE-DECOM,2020-10-05,2020-10-17,34.33333,43.7619,48.07143,55.21428,60.22857,69.52381,72.64286,74.47619,78.35714,80.01588,88.07143,91.34694,94.14286,95.11689,100.7619,105.7143,115.7143,119.4762,138.2857,164.8857,190.0714,280.5,468.4286,132.0
2,ca,JHU_CSSE-DECOM,2020-10-05,2020-10-17,288.4286,298.102,304.1111,350.8571,354.2967,368.8022,392.5238,431.5,434.9286,435.6374,439.5714,441.2449,459.4898,462.6623,503.2857,548.0,552.4643,587.6518,604.0803,657.6286,812.8571,958.0286,1174.19,413.0
2,co,JHU_CSSE-DECOM,2020-10-05,2020-10-17,10.39286,14.25,21.71428,22.66667,25.62857,26.10204,30.37143,32.38571,33.42857,35.86607,37.26954,40.84416,41.23809,44.89796,47.95798,48.88235,50.84616,56.85714,61.22449,69.25974,76.85714,84.20408,88.92857,65.0
2,ct,JHU_CSSE-DECOM,2020-10-05,2020-10-17,1.285714,1.586813,2.214286,5.666667,7.0,7.857143,9.285714,9.92437,10.37037,10.57143,11.2381,11.64286,12.42857,13.0,15.09524,15.68571,18.95238,23.28571,25.02857,27.48571,32.0,37.35714,39.90476,12.0
2,de,JHU_CSSE-DECOM,2020-10-05,2020-10-17,5.571429,5.698413,7.071429,12.0,14.42857,15.57143,19.92857,21.42857,21.71428,23.55357,26.57143,33.57143,36.39881,37.23809,37.67702,38.08696,40.85714,45.31746,49.0,56.25893,67.28571,85.30357,93.74107,15.0
2,fl,JHU_CSSE-DECOM,2020-10-05,2020-10-17,275.8571,296.6964,302.0,343.4286,352.8175,365.25,384.4286,429.0,434.978,443.1429,462.1429,477.819,506.1786,541.4921,567.4286,585.4505,628.7619,682.2857,695.3214,762.1428,816.1429,934.0714,1026.571,731.0
2,ga,JHU_CSSE-DECOM,2020-10-05,2020-10-17,74.35714,81.14285,87.45714,112.0714,119.9643,133.3571,141.0,155.8571,168.0,174.7143,186.2143,197.7959,205.3929,211.9206,222.2857,239.6857,249.5714,298.7143,316.5816,419.6905,456.0,561.8,725.4572,214.0
