h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
4,il,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.35,56.59,94.043,136.128,157.401,212.916,248.527,304.994,332.004,361.567,399.972,459.962,493.529,546.6,168.0
1,in,CEID-Walk,2020-08-09,2020-08-15,41.826,43.304,48.099,51.639,53.159,55.408,58.018,58.916,60.761,61.543,63.102,64.344,65.168,66.129,67.55,69.282,70.644,71.585,72.717,75.615,78.044,79.884,80.319,94.0
2,in,CEID-Walk,2020-08-09,2020-08-22,28.86,34.618,36.469,43.022,45.711,48.319,51.677,54.442,55.599,56.641,58.473,61.476,63.954,65.778,68.363,72.215,75.581,77.547,79.871,82.439,86.344,91.395,99.392,96.0
3,in,CEID-Walk,2020-08-09,2020-08-29,15.542,25.134,33.176,38.348,45.058,47.882,51.129,53.542,55.834,56.795,58.416,59.738,62.181,65.687,68.891,72.622,77.689,79.076,82.224,86.356,89.075,99.968,121.875,77.0
4,in,CEID-Walk,2020-08-09,2020-09-05,6.992,14.907,23.627,36.695,41.157,44.113,48.49,49.874,53.738,55.228,57.484,59.629,64.043,67.944,68.839,73.555,80.233,81.345,84.914,88.49,95.414,108.856,114.33,70.0
1,ia,CEID-Walk,2020-08-09,2020-08-15,33.127,36.671,38.893,42.501,45.26,47.156,47.636,50.096,51.292,51.593,51.997,53.224,54.083,55.976,57.218,58.475,58.962,59.863,61.075,63.384,66.302,68.484,72.976,48.0
2,ia,CEID-Walk,2020-08-09,2020-08-22,22.814,25.987,35.601,39.536,41.979,43.895,46.765,48.435,50.086,51.503,52.579,54.283,55.561,56.869,58.904,60.255,61.091,62.243,64.061,65.16,67.502,69.982,81.203,58.0
3,ia,CEID-Walk,2020-08-09,2020-08-29,19.709,26.585,32.01,39.145,41.901,44.865,46.627,47.77,49.238,52.351,54.662,56.178,59.231,60.174,60.818,63.049,64.082,65.43,67.503,69.8,74.179,77.779,86.63,67.0
4,ia,CEID-Walk,2020-08-09,2020-09-05,15.662,22.926,29.528,32.271,39.23,41.843,44.215,47.573,48.542,50.689,52.197,56.07,59.696,60.444,62.014,64.509,65.825,68.249,69.288,73.521,78.719,82.243,88.123,64.0
1,ks,CEID-Walk,2020-08-09,2020-08-15,6.086,7.562,10.683,13.213,14.888,16.439,18.052,18.711,19.359,20.788,21.998,22.864,23.58,24.335,25.208,26.243,27.429,28.462,29.65,32.339,34.977,36.959,39.422,26.0
